step,epoch,loss
10,0.08,1.625
20,0.16,0.9688
30,0.24,0.9812
40,0.32,0.8438
50,0.4,0.8375
60,0.48,0.875
70,0.56,0.7656
80,0.64,0.8187
90,0.72,0.8938
100,0.8,1.0312
110,0.88,0.8625
120,0.96,0.8938
130,1.04,0.7188
140,1.12,0.6281
150,1.2,0.5781
160,1.28,0.6531
170,1.36,0.5625
180,1.44,0.4469
190,1.52,0.5813
200,1.6,0.6031
210,1.68,0.575
220,1.76,0.5281
230,1.84,0.5281
240,1.92,0.5437
250,2.0,0.4813
260,2.08,0.3109
270,2.16,0.2953
280,2.24,0.2469
290,2.32,0.2656
300,2.4,0.2891
310,2.48,0.2922
320,2.56,0.2313
330,2.64,0.3016
340,2.72,0.275
350,2.8,0.3375
360,2.88,0.3297
370,2.96,0.2766
